,lower,upper,y_hat
1961-01-01,13.767719243976153,15.45206375150297,14.585598221215124
1961-02-01,14.079137535649028,16.10913706680476,15.059971990152105
1961-03-01,14.496736893089194,16.86614186062919,15.63662434654805
1961-04-01,15.418713104346592,18.13243502546496,16.7206104416331
1961-05-01,15.427795678703538,18.287243220769483,16.79678099925066
1961-06-01,18.266462749296167,21.77682964992334,19.944564362203877
1961-07-01,20.3370225893827,24.34894188151631,22.252752213422134
1961-08-01,20.25944151017333,24.33334102676277,22.20315066108415
1961-09-01,17.52336236303127,21.09738894680588,19.227511316566428
1961-10-01,15.132204981959976,18.25133686804088,16.618753583888232
1961-11-01,13.524172643094973,16.334032241523843,14.862848717263054
1961-12-01,14.540401278727181,17.57947802741412,15.987891192686066
